,Actual,Predicted
10154,negative,negative
1381,negative,negative
8536,negative,negative
10480,negative,negative
6962,neutral,neutral
12907,negative,negative
10802,neutral,negative
9467,negative,negative
11704,negative,negative
11263,positive,positive
208,positive,positive
10663,negative,negative
14317,negative,negative
3604,positive,positive
6953,negative,negative
7069,negative,negative
9561,positive,negative
10225,negative,negative
9582,neutral,neutral
7950,negative,negative
1282,negative,negative
12723,neutral,neutral
8261,negative,negative
6265,neutral,neutral
7014,neutral,neutral
2901,neutral,neutral
1185,neutral,neutral
6161,negative,negative
2922,negative,negative
7832,negative,negative
10751,neutral,negative
2818,negative,neutral
10963,neutral,neutral
2224,neutral,negative
11859,negative,negative
7683,neutral,negative
7124,positive,positive
7823,neutral,negative
884,negative,negative
11419,negative,negative
8091,negative,negative
12337,positive,positive
4155,positive,positive
13129,negative,negative
13291,negative,negative
3141,negative,negative
9951,negative,negative
11868,negative,negative
4467,neutral,positive
8658,negative,negative
5041,neutral,positive
2807,neutral,neutral
8079,neutral,negative
11328,negative,negative
398,negative,negative
4768,negative,negative
4939,negative,negative
8066,positive,negative
1385,negative,negative
10153,negative,negative
12381,negative,negative
10879,positive,positive
10337,negative,negative
12074,positive,negative
8937,negative,negative
1399,negative,negative
13410,negative,negative
8395,negative,negative
425,negative,negative
11870,negative,negative
1575,negative,negative
11217,negative,neutral
7895,neutral,neutral
7783,negative,negative
7815,negative,negative
13658,negative,negative
10664,positive,negative
12112,negative,positive
6280,positive,neutral
5339,positive,neutral
1547,negative,negative
768,neutral,neutral
10597,negative,negative
7915,positive,positive
3525,negative,neutral
6010,positive,positive
11148,negative,negative
7489,negative,negative
314,negative,negative
8274,neutral,negative
4312,positive,positive
11688,negative,negative
2102,negative,negative
933,positive,positive
6575,positive,positive
5223,negative,neutral
9188,negative,negative
8546,positive,negative
9290,neutral,neutral
42,neutral,negative
12168,negative,negative
1169,negative,negative
12689,negative,negative
1977,negative,negative
8487,neutral,negative
6391,negative,negative
2283,positive,positive
7826,negative,neutral
5928,negative,negative
1920,positive,positive
13990,negative,negative
1530,negative,negative
9004,neutral,negative
9403,negative,negative
14472,negative,negative
7341,negative,negative
5304,negative,negative
345,negative,negative
5834,neutral,neutral
10170,negative,negative
14120,negative,negative
6607,negative,negative
5636,negative,negative
4004,negative,negative
5380,positive,positive
9815,negative,negative
9509,negative,negative
10813,positive,negative
5210,negative,negative
385,positive,negative
2602,positive,negative
6648,positive,negative
12447,neutral,neutral
3194,negative,negative
5209,negative,negative
14329,negative,negative
5128,negative,negative
5125,negative,negative
9977,neutral,negative
2680,negative,negative
4206,negative,negative
2468,negative,negative
3223,negative,negative
8340,positive,positive
9112,negative,negative
11580,negative,negative
2948,neutral,neutral
7432,positive,negative
4918,negative,negative
3781,negative,negative
4051,negative,negative
5959,negative,negative
4372,positive,positive
4850,negative,negative
1168,negative,negative
13932,negative,negative
3620,neutral,negative
11130,negative,negative
6384,negative,neutral
7507,negative,negative
7376,positive,positive
939,negative,neutral
12918,negative,negative
10979,negative,negative
14630,positive,positive
3449,negative,negative
5467,negative,neutral
9547,negative,negative
10296,negative,negative
4437,positive,positive
4330,negative,negative
11590,negative,negative
12000,negative,negative
4191,neutral,negative
4038,neutral,negative
724,negative,negative
3442,neutral,neutral
2292,neutral,neutral
13819,negative,positive
12123,positive,neutral
8479,neutral,neutral
3062,negative,negative
13021,negative,negative
3133,positive,negative
3236,neutral,neutral
10025,neutral,negative
8840,neutral,negative
452,neutral,positive
8640,positive,neutral
9391,negative,negative
12629,neutral,neutral
1091,negative,negative
8383,positive,positive
6224,neutral,negative
4535,positive,positive
14534,negative,negative
9830,negative,negative
6758,negative,negative
9921,negative,negative
957,negative,negative
13124,neutral,neutral
13582,negative,negative
7330,neutral,positive
13791,neutral,positive
10710,negative,negative
3530,neutral,neutral
1009,negative,negative
5738,negative,negative
14350,negative,negative
6731,negative,negative
11218,negative,negative
8352,negative,negative
12260,neutral,neutral
8398,negative,negative
7251,neutral,neutral
672,negative,negative
6341,negative,neutral
3019,negative,negative
3650,negative,negative
3063,negative,negative
2295,neutral,negative
1699,negative,negative
6590,neutral,neutral
861,negative,neutral
9774,negative,negative
2193,negative,neutral
4682,negative,negative
270,neutral,neutral
8743,neutral,neutral
5428,neutral,neutral
9508,neutral,negative
12891,neutral,negative
10033,negative,negative
5066,negative,negative
14578,negative,negative
1138,negative,negative
5368,negative,negative
8930,negative,negative
10953,negative,negative
11948,negative,negative
2070,positive,negative
1055,negative,negative
3085,positive,positive
9227,negative,negative
7232,neutral,neutral
3814,negative,negative
6558,positive,positive
12249,negative,negative
924,negative,negative
1674,negative,negative
1410,negative,negative
850,negative,negative
3474,neutral,negative
2378,neutral,negative
10630,negative,negative
6062,negative,negative
10369,negative,negative
4521,negative,negative
12297,negative,negative
342,positive,negative
4397,negative,negative
3396,positive,positive
11618,negative,negative
2238,neutral,negative
8780,neutral,neutral
9949,negative,negative
12325,negative,negative
653,negative,neutral
6200,negative,negative
12476,neutral,negative
8418,negative,negative
9691,neutral,negative
1276,negative,negative
9879,neutral,negative
5024,neutral,negative
1370,neutral,negative
14518,negative,negative
9965,negative,negative
10242,negative,positive
5739,negative,neutral
5082,negative,negative
7495,negative,negative
4745,neutral,neutral
8385,negative,negative
3921,neutral,neutral
2782,negative,negative
5654,negative,negative
9678,negative,negative
5941,positive,negative
4266,neutral,negative
14379,neutral,negative
6194,positive,negative
11297,positive,negative
12667,neutral,negative
5439,neutral,neutral
7812,negative,negative
10360,negative,negative
4099,negative,negative
9070,negative,negative
900,negative,negative
7712,positive,positive
2960,negative,neutral
11720,positive,positive
3164,negative,negative
10215,negative,negative
12575,negative,negative
13496,negative,negative
14502,neutral,negative
7271,negative,negative
3136,negative,negative
8811,neutral,negative
11411,negative,negative
7692,negative,positive
4094,negative,negative
2769,negative,negative
9772,positive,positive
2947,positive,positive
14044,negative,negative
8322,negative,negative
4331,negative,negative
1359,negative,negative
13665,neutral,negative
7602,neutral,negative
14189,negative,negative
3467,neutral,neutral
3003,neutral,negative
10230,negative,negative
11853,negative,negative
13754,negative,negative
12001,neutral,neutral
8882,positive,positive
3031,negative,negative
1220,positive,positive
8869,neutral,neutral
5607,positive,neutral
7810,negative,neutral
1846,negative,negative
8558,neutral,neutral
7742,neutral,positive
7371,negative,negative
11295,negative,negative
13637,negative,neutral
14114,negative,negative
4050,positive,positive
6078,positive,positive
4420,negative,negative
2418,neutral,neutral
9051,negative,negative
11846,negative,negative
8122,neutral,neutral
13264,negative,negative
5253,positive,positive
9517,neutral,neutral
5437,neutral,negative
11154,negative,negative
4251,negative,negative
14216,negative,negative
6837,neutral,neutral
2597,negative,negative
9097,negative,negative
11538,negative,negative
11057,negative,negative
6203,positive,positive
11740,positive,negative
4643,neutral,neutral
2417,negative,negative
11476,negative,negative
8051,neutral,neutral
4589,neutral,positive
1205,negative,negative
9122,negative,negative
7752,neutral,negative
5562,negative,negative
4411,negative,negative
2352,negative,negative
2138,neutral,neutral
11562,negative,negative
9380,negative,neutral
13536,negative,negative
6947,neutral,neutral
2765,negative,negative
3275,negative,negative
2965,negative,positive
13738,neutral,negative
10856,negative,negative
10977,neutral,neutral
12799,negative,neutral
8950,positive,positive
3269,negative,negative
11462,negative,negative
3102,negative,negative
12948,negative,negative
4652,negative,neutral
12421,negative,negative
9066,negative,negative
7380,negative,positive
12396,neutral,neutral
326,neutral,neutral
6543,positive,negative
11504,negative,negative
12098,negative,negative
12706,negative,negative
11070,negative,negative
1329,positive,negative
13116,negative,negative
6643,negative,negative
2267,negative,negative
1994,negative,negative
3924,neutral,negative
4919,neutral,negative
2983,negative,negative
13580,neutral,neutral
309,neutral,neutral
13163,neutral,negative
9511,negative,positive
1870,negative,negative
13443,negative,negative
13898,negative,negative
627,negative,negative
9045,neutral,negative
2454,negative,negative
4457,negative,negative
9726,negative,negative
146,negative,negative
13619,negative,negative
1161,negative,negative
7090,positive,neutral
10718,negative,negative
2838,negative,negative
12688,positive,positive
5691,negative,negative
10172,negative,negative
6921,negative,neutral
12420,negative,negative
9058,negative,negative
10931,positive,positive
289,negative,negative
9915,negative,negative
11451,negative,negative
3847,negative,negative
7201,positive,negative
434,negative,negative
4291,negative,negative
5790,neutral,neutral
7158,neutral,neutral
7095,neutral,neutral
2459,negative,neutral
9137,negative,negative
6376,negative,negative
4951,negative,negative
6959,negative,negative
4824,positive,negative
13733,positive,positive
3792,positive,neutral
8339,negative,negative
7905,negative,negative
12178,negative,negative
5571,positive,neutral
826,negative,negative
10283,positive,positive
9011,neutral,neutral
3117,positive,negative
13118,positive,positive
6844,negative,negative
3179,negative,neutral
1419,negative,negative
5803,neutral,negative
4009,negative,negative
12085,positive,positive
8688,negative,negative
744,negative,negative
12836,negative,negative
12565,positive,positive
6297,negative,negative
98,negative,negative
903,negative,negative
12660,negative,negative
10792,neutral,neutral
7258,negative,negative
13640,positive,neutral
1861,positive,negative
7247,neutral,positive
9962,negative,negative
11041,negative,negative
6393,negative,negative
796,negative,negative
13313,positive,positive
13439,negative,negative
600,positive,neutral
12033,positive,positive
10824,negative,negative
5290,negative,negative
11523,negative,negative
9258,neutral,negative
3671,negative,negative
3108,negative,negative
1354,neutral,positive
1622,negative,negative
7256,negative,negative
1616,negative,negative
4887,positive,positive
6722,negative,negative
12679,negative,negative
78,negative,positive
11309,negative,negative
9532,negative,negative
5270,positive,positive
10050,negative,negative
7100,negative,neutral
10605,negative,negative
13368,negative,negative
456,neutral,neutral
1277,negative,negative
5871,neutral,neutral
12316,negative,negative
812,neutral,negative
12247,negative,negative
6105,negative,negative
13155,negative,negative
797,negative,negative
10383,negative,neutral
12874,positive,negative
4254,negative,negative
7017,neutral,neutral
8625,negative,negative
991,negative,negative
11333,negative,negative
6168,negative,negative
14400,negative,negative
1849,positive,positive
2009,neutral,neutral
1505,neutral,negative
13035,negative,neutral
12106,negative,negative
8787,negative,negative
9521,negative,negative
7336,negative,negative
4988,positive,negative
764,negative,negative
13041,negative,negative
8263,positive,negative
14428,neutral,negative
2579,negative,negative
5247,neutral,negative
3511,positive,positive
13567,negative,negative
2237,negative,negative
12527,neutral,neutral
14313,negative,negative
10258,negative,negative
2767,negative,negative
2332,negative,negative
3764,negative,negative
9226,negative,negative
8318,positive,negative
2122,negative,negative
12868,negative,negative
7038,positive,positive
11397,negative,negative
8035,neutral,neutral
2750,negative,neutral
11957,negative,negative
4435,negative,negative
2366,negative,neutral
1830,neutral,neutral
9985,negative,negative
11533,positive,negative
1641,negative,negative
4601,positive,negative
5620,neutral,neutral
13408,neutral,neutral
13310,negative,negative
8249,negative,negative
11204,positive,negative
11749,positive,negative
5009,negative,negative
14305,negative,negative
9422,negative,negative
2109,negative,negative
6740,neutral,negative
7064,positive,neutral
3874,neutral,neutral
13174,negative,negative
3677,neutral,neutral
3535,negative,negative
6449,negative,negative
2306,negative,negative
720,negative,negative
4804,positive,positive
8619,negative,negative
10615,neutral,positive
9893,negative,negative
10276,negative,negative
4111,negative,neutral
4167,negative,negative
2748,positive,positive
655,negative,negative
6142,neutral,negative
14147,negative,positive
1969,positive,positive
6371,positive,negative
5433,negative,neutral
13783,negative,negative
6427,neutral,positive
5652,negative,negative
4240,negative,neutral
10191,negative,negative
13437,negative,negative
10569,negative,negative
14580,negative,negative
6708,positive,positive
2688,negative,positive
1566,negative,negative
2361,negative,negative
10836,neutral,neutral
9777,negative,negative
8561,neutral,negative
4722,positive,positive
12174,negative,negative
12532,negative,negative
3950,positive,negative
12591,neutral,neutral
12079,negative,negative
6267,positive,neutral
6641,neutral,neutral
8978,neutral,neutral
12353,neutral,negative
14443,neutral,neutral
875,negative,positive
14320,negative,negative
9107,neutral,negative
11939,positive,neutral
9624,negative,negative
13968,neutral,negative
7186,negative,negative
6961,neutral,negative
5123,positive,positive
12946,negative,negative
842,negative,negative
11818,positive,neutral
13498,neutral,negative
4644,neutral,neutral
355,negative,negative
9209,negative,negative
14097,negative,negative
36,positive,positive
12188,negative,negative
8866,neutral,negative
441,neutral,negative
4622,neutral,positive
1711,negative,neutral
3756,negative,negative
12251,negative,neutral
5694,neutral,negative
2801,negative,negative
12109,negative,negative
12357,positive,positive
10940,negative,negative
13608,negative,negative
13500,negative,negative
89,negative,negative
3700,negative,negative
1050,negative,negative
8556,negative,negative
6972,neutral,neutral
9744,negative,negative
11002,negative,negative
9359,negative,negative
4986,negative,negative
2284,negative,negative
13456,negative,negative
3835,negative,negative
13490,negative,negative
13525,positive,negative
8515,positive,positive
5120,negative,negative
9383,negative,negative
8506,negative,negative
7760,positive,negative
12733,neutral,negative
7377,neutral,negative
13072,negative,negative
10528,negative,negative
12217,negative,negative
394,negative,negative
12717,negative,negative
4203,positive,negative
86,neutral,neutral
9727,negative,negative
3180,neutral,neutral
1432,negative,neutral
6677,neutral,negative
14511,positive,positive
2072,negative,negative
4846,negative,negative
10058,negative,negative
5006,neutral,negative
1948,neutral,negative
11527,negative,negative
6319,negative,negative
12084,neutral,neutral
6663,negative,negative
247,positive,positive
6117,positive,positive
11769,negative,negative
5875,negative,negative
7720,positive,negative
9605,negative,negative
6672,positive,positive
1658,neutral,neutral
3888,negative,negative
6172,positive,positive
3105,negative,positive
8829,positive,negative
2824,negative,negative
11521,negative,negative
8562,neutral,neutral
2514,negative,negative
8850,neutral,negative
9200,negative,negative
5239,negative,negative
3220,negative,negative
14063,negative,negative
10754,negative,negative
12317,neutral,neutral
2480,neutral,positive
747,negative,negative
5934,positive,positive
10980,negative,negative
10063,negative,negative
1241,negative,negative
7534,negative,negative
2015,positive,positive
11243,neutral,negative
10478,neutral,neutral
5468,positive,negative
6888,negative,negative
7219,positive,positive
11359,negative,positive
8362,negative,negative
3832,negative,negative
7080,neutral,negative
13921,negative,negative
3316,negative,negative
5907,negative,negative
13876,negative,negative
12767,neutral,negative
8856,neutral,positive
4691,negative,negative
1578,neutral,neutral
4043,negative,positive
10951,negative,negative
11899,neutral,neutral
10426,negative,negative
9887,negative,negative
921,neutral,negative
14383,positive,negative
2444,negative,positive
182,negative,negative
10162,negative,negative
12810,negative,negative
13562,negative,negative
12908,negative,negative
7582,neutral,neutral
7657,positive,positive
12537,negative,negative
2210,negative,negative
7162,positive,neutral
14427,negative,negative
11999,negative,negative
9913,negative,negative
10417,neutral,neutral
7237,negative,negative
1311,negative,neutral
9181,negative,negative
8568,neutral,neutral
2301,neutral,neutral
8439,negative,negative
1812,negative,negative
10125,negative,negative
12512,negative,negative
679,neutral,negative
2207,negative,negative
8775,negative,negative
1059,negative,negative
13212,negative,negative
4495,negative,negative
2350,negative,negative
11441,negative,negative
12025,negative,negative
6519,neutral,positive
13966,negative,negative
3876,negative,negative
4472,neutral,negative
14176,negative,negative
4675,negative,neutral
12700,negative,negative
6652,positive,negative
7843,negative,negative
9393,negative,negative
12849,neutral,neutral
10253,negative,negative
3570,negative,negative
7963,negative,negative
8689,negative,negative
7763,negative,negative
12811,neutral,negative
10312,negative,negative
12857,negative,negative
10563,negative,negative
11627,negative,negative
13011,negative,negative
9894,negative,negative
2722,positive,positive
1196,negative,negative
13211,negative,negative
10830,negative,negative
10589,neutral,negative
13244,positive,negative
8873,neutral,positive
7374,neutral,negative
9765,neutral,negative
8381,negative,negative
7694,negative,neutral
14523,negative,negative
10803,negative,negative
641,neutral,neutral
12755,negative,negative
5547,negative,negative
8424,negative,negative
1400,negative,negative
13234,negative,negative
1659,negative,negative
3254,negative,negative
14349,negative,negative
13222,negative,negative
13010,positive,positive
13363,negative,negative
9399,positive,positive
6588,positive,positive
2443,negative,negative
186,negative,negative
8160,neutral,neutral
13838,negative,positive
12368,positive,positive
7347,negative,negative
8162,negative,positive
1215,negative,negative
11824,negative,negative
13230,negative,negative
1469,neutral,negative
10952,negative,negative
241,neutral,neutral
11942,negative,negative
3205,negative,negative
12992,neutral,positive
12496,negative,negative
1924,negative,negative
14364,negative,positive
12708,negative,negative
11596,negative,negative
7133,positive,neutral
14425,negative,negative
12669,neutral,negative
8057,positive,positive
5097,negative,negative
8060,positive,negative
3067,negative,negative
1127,negative,negative
13295,neutral,neutral
6783,positive,negative
9653,negative,negative
2772,negative,negative
7383,negative,negative
1175,negative,negative
8513,negative,negative
7808,negative,negative
8995,neutral,neutral
139,negative,negative
10174,negative,negative
4833,negative,negative
13917,negative,negative
11334,negative,neutral
6270,negative,negative
1092,negative,negative
3690,negative,neutral
7839,negative,neutral
9182,negative,negative
3686,negative,negative
14396,negative,negative
362,positive,negative
10408,negative,negative
2825,negative,neutral
14196,neutral,neutral
13634,negative,negative
9609,negative,negative
3437,negative,negative
5543,neutral,negative
8115,negative,negative
4763,positive,positive
1749,neutral,negative
4168,negative,negative
10758,negative,negative
5577,negative,negative
12136,negative,negative
12252,negative,negative
13631,negative,negative
13225,neutral,neutral
395,positive,positive
10396,negative,neutral
8448,positive,positive
6318,neutral,positive
8030,positive,positive
8572,positive,neutral
10412,negative,negative
10780,negative,negative
10536,negative,negative
7866,neutral,neutral
11730,negative,negative
1950,negative,negative
4698,negative,negative
4278,negative,negative
554,negative,negative
843,positive,positive
11834,negative,negative
1267,positive,positive
6945,positive,positive
2710,positive,positive
55,negative,negative
14614,negative,negative
8788,negative,negative
8363,negative,negative
5589,negative,neutral
5791,negative,negative
10367,negative,negative
9767,negative,negative
5604,positive,neutral
969,negative,negative
14488,negative,negative
13680,negative,negative
5481,positive,negative
4728,positive,positive
10443,negative,negative
12438,negative,negative
283,neutral,neutral
7684,positive,positive
6292,neutral,neutral
14252,negative,negative
2548,negative,negative
2404,negative,negative
9324,neutral,negative
10692,negative,negative
2755,negative,negative
4931,negative,negative
14232,negative,positive
2311,negative,negative
6721,neutral,neutral
835,positive,positive
4392,negative,neutral
3864,negative,negative
11092,negative,negative
11088,positive,positive
3818,negative,negative
13448,neutral,negative
14626,negative,negative
763,negative,negative
7157,negative,negative
9040,negative,negative
10676,negative,negative
11213,negative,negative
6177,positive,positive
11988,neutral,neutral
6701,neutral,neutral
8093,neutral,neutral
13888,negative,negative
5878,positive,positive
2796,negative,negative
2828,negative,negative
4506,neutral,negative
12831,negative,negative
8724,negative,negative
12257,negative,neutral
7411,negative,negative
5393,negative,negative
10962,negative,negative
12436,negative,negative
1680,neutral,negative
5399,negative,negative
11913,positive,negative
4593,neutral,neutral
5927,negative,negative
832,negative,negative
3149,negative,negative
4285,positive,negative
3487,neutral,negative
14236,positive,neutral
107,negative,negative
12716,negative,negative
11848,negative,negative
11889,neutral,neutral
13961,negative,negative
5512,positive,negative
292,negative,negative
634,negative,negative
194,negative,negative
2374,positive,positive
11107,negative,positive
12731,negative,negative
7658,negative,negative
7775,negative,negative
4938,positive,positive
2926,negative,negative
2902,negative,negative
4466,negative,negative
5471,positive,negative
7280,negative,negative
2370,neutral,negative
8710,negative,negative
986,negative,negative
3526,neutral,neutral
11814,negative,negative
11614,negative,negative
9402,negative,negative
5812,negative,negative
14030,negative,negative
11113,neutral,neutral
12437,negative,negative
4176,negative,negative
10464,negative,negative
9685,negative,negative
8492,neutral,neutral
3946,negative,negative
13283,negative,negative
5690,neutral,neutral
3201,negative,negative
4908,neutral,negative
9617,negative,negative
9029,negative,negative
2760,negative,negative
1834,negative,negative
9105,positive,positive
3307,negative,neutral
14168,negative,negative
12060,neutral,neutral
7222,negative,negative
12254,neutral,negative
7478,negative,negative
2281,negative,neutral
436,positive,negative
5623,neutral,neutral
4214,negative,negative
4913,negative,negative
6127,neutral,positive
14221,negative,negative
4681,negative,negative
9044,positive,positive
1790,negative,neutral
6821,positive,positive
4979,positive,positive
10029,negative,negative
750,negative,negative
5133,negative,negative
14249,negative,negative
4991,negative,negative
13294,negative,negative
9146,negative,negative
3672,neutral,positive
6455,neutral,neutral
7561,positive,positive
7457,negative,negative
13618,neutral,negative
12063,neutral,neutral
11305,negative,negative
577,neutral,negative
13543,negative,negative
10150,negative,negative
810,negative,negative
5563,negative,negative
1287,neutral,neutral
13266,negative,negative
8846,neutral,neutral
11360,positive,negative
10341,negative,negative
5757,negative,negative
8648,negative,negative
5730,negative,negative
14086,negative,negative
11376,negative,negative
7455,negative,negative
5653,negative,negative
12095,neutral,neutral
770,neutral,neutral
728,negative,negative
11210,negative,neutral
5390,negative,negative
13394,negative,negative
8660,positive,positive
13108,positive,neutral
11374,negative,negative
9099,negative,neutral
3928,negative,negative
13602,negative,negative
1922,neutral,negative
11104,negative,negative
6678,negative,negative
1915,negative,negative
5987,positive,positive
11612,negative,negative
1775,neutral,neutral
112,neutral,positive
11035,negative,negative
5606,positive,neutral
1131,negative,negative
2474,neutral,negative
1421,negative,neutral
5549,negative,negative
13571,negative,negative
7855,positive,positive
5872,neutral,positive
14272,negative,negative
14426,negative,negative
3704,negative,negative
9455,negative,neutral
3422,negative,positive
6561,negative,negative
4526,negative,negative
2803,neutral,neutral
2060,negative,negative
13003,neutral,negative
6905,neutral,negative
9148,negative,negative
3567,negative,negative
8336,positive,positive
3854,negative,negative
12277,positive,positive
6097,negative,negative
12872,negative,negative
13781,negative,negative
9013,negative,negative
2353,negative,negative
8397,negative,negative
9842,negative,negative
4046,negative,negative
8226,negative,negative
11391,negative,negative
6552,negative,negative
8905,neutral,neutral
5157,negative,negative
13648,negative,negative
8016,positive,positive
4052,negative,negative
11804,negative,negative
1721,negative,positive
4837,neutral,neutral
7942,negative,negative
530,negative,positive
10433,negative,positive
9348,negative,neutral
8809,positive,positive
6955,positive,negative
806,positive,positive
9300,neutral,negative
6589,negative,neutral
1757,negative,negative
9178,negative,negative
5398,negative,negative
3047,negative,negative
145,negative,negative
7007,neutral,neutral
5600,negative,negative
10371,negative,negative
5351,negative,negative
551,neutral,positive
4820,neutral,negative
8469,negative,negative
4492,neutral,negative
7874,neutral,negative
9198,negative,negative
7921,neutral,neutral
11676,positive,positive
3012,negative,negative
9556,negative,negative
13223,negative,negative
5560,negative,negative
3995,negative,negative
8821,negative,neutral
4620,neutral,neutral
11019,negative,negative
3631,negative,neutral
12711,negative,negative
606,negative,negative
9362,positive,negative
12037,negative,negative
8549,positive,positive
9103,neutral,neutral
10012,negative,negative
2365,negative,negative
9649,negative,negative
9235,negative,negative
1831,negative,negative
12166,positive,positive
1007,negative,negative
6990,neutral,negative
5367,negative,negative
5236,negative,negative
9728,negative,negative
13899,negative,negative
1145,negative,neutral
14051,negative,negative
4944,negative,negative
12757,negative,negative
6038,positive,positive
6551,negative,neutral
87,neutral,neutral
8647,positive,positive
5431,negative,negative
4357,positive,positive
9778,negative,negative
13247,neutral,neutral
11164,positive,positive
12597,negative,negative
14026,negative,negative
10731,negative,negative
5218,neutral,positive
1160,negative,negative
5207,negative,negative
6894,neutral,negative
4320,negative,neutral
13066,negative,positive
9559,positive,positive
496,negative,negative
9642,negative,negative
9285,negative,negative
5842,negative,neutral
9504,negative,negative
4427,neutral,neutral
10051,negative,negative
10981,negative,negative
12113,positive,positive
2250,negative,negative
2531,positive,negative
10545,negative,negative
12443,negative,negative
3803,negative,neutral
7754,negative,negative
12273,negative,negative
8944,negative,negative
556,neutral,positive
3669,neutral,neutral
1073,negative,negative
10385,negative,negative
10240,negative,negative
10186,neutral,neutral
1072,negative,neutral
9786,negative,negative
7204,negative,negative
12630,negative,negative
2764,neutral,negative
13814,negative,neutral
4440,negative,negative
10770,negative,negative
5689,neutral,neutral
9992,negative,negative
14357,negative,negative
7686,negative,negative
2575,negative,negative
2698,neutral,negative
9318,negative,negative
8055,neutral,negative
8991,negative,negative
7974,negative,negative
14013,negative,neutral
5969,neutral,neutral
199,positive,positive
7554,negative,negative
3266,negative,positive
11418,negative,negative
13649,negative,negative
6739,neutral,negative
2511,negative,negative
3698,negative,negative
71,neutral,negative
552,positive,neutral
108,neutral,negative
14205,negative,negative
4010,negative,negative
12840,negative,negative
3652,negative,negative
11514,negative,negative
10084,negative,negative
4488,neutral,negative
5402,neutral,neutral
2140,negative,neutral
570,negative,negative
4153,neutral,negative
6908,neutral,negative
12583,negative,neutral
7805,negative,positive
7901,neutral,neutral
13558,negative,negative
8244,positive,negative
2718,negative,negative
4095,negative,negative
4139,neutral,negative
2033,negative,negative
5258,neutral,neutral
4611,negative,negative
14080,negative,negative
6637,negative,negative
3214,negative,neutral
5153,negative,negative
5933,negative,negative
396,negative,negative
10198,negative,negative
3674,positive,neutral
14591,negative,negative
9036,neutral,negative
9662,negative,neutral
4182,neutral,neutral
699,positive,negative
3715,positive,negative
12153,negative,positive
5050,negative,negative
10789,neutral,neutral
12920,negative,negative
12576,negative,negative
12265,negative,negative
2386,negative,negative
7418,negative,negative
380,neutral,neutral
9104,negative,negative
13642,negative,negative
14304,negative,negative
11530,neutral,neutral
10197,negative,negative
589,positive,negative
8973,negative,negative
3810,neutral,neutral
11667,negative,negative
11641,negative,negative
14020,neutral,neutral
1993,negative,negative
1987,negative,neutral
7387,negative,positive
9946,neutral,positive
6817,positive,negative
2389,negative,negative
11956,negative,negative
566,negative,negative
7365,negative,negative
13364,negative,negative
445,neutral,neutral
10482,neutral,neutral
12593,positive,positive
11287,negative,negative
4378,positive,negative
14212,negative,negative
14117,negative,positive
696,negative,negative
11966,negative,negative
3174,negative,negative
10908,negative,negative
5805,positive,negative
13391,negative,neutral
1750,negative,negative
2553,neutral,neutral
951,neutral,negative
9843,neutral,neutral
461,neutral,positive
13526,negative,negative
9739,negative,negative
7945,positive,negative
9312,negative,negative
1569,negative,negative
13024,negative,negative
10211,negative,negative
3727,negative,negative
10338,negative,negative
180,neutral,neutral
13784,negative,negative
5862,positive,positive
3843,negative,negative
9578,positive,positive
10229,negative,negative
5345,negative,negative
12110,negative,negative
13331,neutral,neutral
13782,negative,negative
1077,negative,negative
13905,negative,negative
11264,neutral,negative
9924,negative,negative
5627,positive,positive
7183,neutral,neutral
6249,negative,negative
2431,negative,negative
9442,negative,negative
6205,neutral,neutral
4462,positive,negative
2707,neutral,negative
9882,negative,negative
9086,negative,negative
4518,negative,negative
4966,negative,positive
9829,negative,negative
5124,negative,neutral
3350,negative,neutral
12403,negative,positive
9222,positive,negative
14071,negative,negative
3393,positive,positive
8649,neutral,negative
8099,negative,negative
6291,neutral,positive
4985,negative,neutral
4338,negative,negative
11566,negative,negative
13006,negative,negative
2253,negative,positive
1766,negative,negative
7685,neutral,negative
5661,negative,negative
9825,negative,negative
188,neutral,negative
12586,neutral,neutral
10119,negative,negative
4133,negative,negative
12873,positive,neutral
5688,negative,negative
7151,neutral,neutral
3496,negative,negative
1905,neutral,negative
14273,negative,negative
4186,negative,negative
